:nemesis	:info	:start-partition	:one
1	:invoke	:generate	nil
2	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{"n1" "n0"}, "n1" #{"n2"}, "n0" #{"n2"}}]
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
2	:ok	:generate	1
2	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
